DlangUI log file
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-05 11:51:45.370 D  registerFont(Cursive,Microsoft Yi Baiti)
2026-03-05 11:51:45.370 D  registerFont(Serif,MingLiU-ExtB)
2026-03-05 11:51:45.370 D  registerFont(Serif,MingLiU-ExtB)
2026-03-05 11:51:45.370 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-05 11:51:45.370 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-05 11:51:45.370 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-05 11:51:45.370 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-05 11:51:45.371 D  registerFont(Cursive,Mongolian Baiti)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(MonoSpace,MS Gothic)
2026-03-05 11:51:45.371 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.371 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.371 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.371 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS UI Gothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MS PGothic)
2026-03-05 11:51:45.372 D  registerFont(SansSerif,MV Boli)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Myanmar Text)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Nirmala UI)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Nirmala UI Semilight)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Palatino Linotype)
2026-03-05 11:51:45.373 D  registerFont(Serif,Segoe MDL2 Assets)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.373 D  registerFont(SansSerif,Segoe Print)
2026-03-05 11:51:45.374 D  registerFont(Cursive,Segoe Script)
2026-03-05 11:51:45.374 D  registerFont(Cursive,Segoe Script)
